minute;tweet_volume;avg_sentiment;norm_volume;norm_sentiment
07/07/2025 20:00;15;-0.018733333333333328;0.07142857142857142;0.5464808352843515
07/07/2025 20:05;14;-0.01091428571428571;0.06428571428571428;0.5676144993854026
07/07/2025 20:09;76;0.0031763157894736725;0.5071428571428571;0.6056991937971353
07/07/2025 20:10;13;0.09751538461538461;0.05714285714285714;0.8606829577169128
07/07/2025 20:15;10;-0.010369999999999996;0.03571428571428571;0.5690856186343369
07/07/2025 20:20;109;0.04412201834862384;0.7428571428571429;0.7163690306400047
07/07/2025 20:25;6;-0.18699999999999997;0.007142857142857143;0.09168232452019866
07/07/2025 20:30;8;0.004587500000000015;0.02142857142857143;0.6095134042410415
07/07/2025 20:35;11;0.09545454545454546;0.04285714285714286;0.8551128314415123
07/07/2025 20:40;10;0.09692;0.03571428571428571;0.8590737261217735
07/07/2025 20:45;5;-0.11785999999999999;0.0;0.27855694239401124
07/07/2025 20:50;13;-0.007846153846153836;0.05714285714285714;0.5759071804736816
07/07/2025 20:55;14;0.016500000000000015;0.06428571428571428;0.6417110305850072
07/07/2025 21:00;14;0.11960000000000001;0.06428571428571428;0.9203742226994139
07/07/2025 21:05;14;0.011585714285714293;0.06428571428571428;0.6284284840854428
07/07/2025 21:10;14;0.11221428571428572;0.06428571428571428;0.9004117908962896
07/07/2025 21:15;10;-0.05943;0.03571428571428571;0.43648410355060463
07/07/2025 21:20;15;0.14906;0.07142857142857142;1.0
07/07/2025 21:25;7;-0.10287142857142857;0.014285714285714285;0.3190687092176825
07/07/2025 21:30;14;0.08736428571428571;0.06428571428571428;0.8332461233498006
07/07/2025 21:33;81;0.01439135802469136;0.5428571428571428;0.6360117007705947
07/07/2025 21:34;61;-0.013998360655737717;0.4;0.5592787266608141
07/07/2025 21:35;7;-0.027114285714285702;0.014285714285714285;0.5238284304013736
07/07/2025 21:39;145;-0.2209206896551724;1.0;0.0
