timestamp,minute,text,likes,retweets,event
2025-07-07 20:00:54,0,What a clash of titans!,4,1,
2025-07-07 20:00:54,0,Unbelievable scenes unfolding!,3,1,
2025-07-07 20:00:54,0,Nail-biting tension in the stadium right now.,5,0,
2025-07-07 20:00:54,0,The energy in the crowd is unmatched.,0,0,
2025-07-07 20:00:54,0,What a clash of titans!,1,1,
2025-07-07 20:00:54,0,This match is far from over.,2,1,
2025-07-07 20:00:54,0,Nail-biting tension in the stadium right now.,5,0,
2025-07-07 20:00:54,0,This match is far from over.,0,1,
2025-07-07 20:00:54,0,This match is far from over.,2,0,
2025-07-07 20:00:54,0,Fans are on edge here!,4,1,
2025-07-07 20:00:54,0,Unbelievable scenes unfolding!,3,0,
2025-07-07 20:00:54,0,The tempo of this match is insane.,2,1,
2025-07-07 20:00:54,0,This match is far from over.,1,1,
2025-07-07 20:00:54,0,So many close chances!,1,1,
2025-07-07 20:00:54,0,Nail-biting tension in the stadium right now.,1,1,
2025-07-07 20:05:04,5,Nail-biting tension in the stadium right now.,5,0,
2025-07-07 20:05:04,5,Fans are on edge here!,1,0,
2025-07-07 20:05:04,5,The energy in the crowd is unmatched.,5,0,
2025-07-07 20:05:04,5,Nail-biting tension in the stadium right now.,3,0,
2025-07-07 20:05:04,5,Fans are on edge here!,3,0,
2025-07-07 20:05:04,5,This match is far from over.,3,0,
2025-07-07 20:05:04,5,The energy in the crowd is unmatched.,6,1,
2025-07-07 20:05:04,5,Both teams are giving it everything.,1,0,
2025-07-07 20:05:04,5,Fans are on edge here!,0,1,
2025-07-07 20:05:04,5,Unbelievable scenes unfolding!,4,1,
2025-07-07 20:05:04,5,Unbelievable scenes unfolding!,3,1,
2025-07-07 20:05:04,5,The tempo of this match is insane.,3,0,
2025-07-07 20:05:04,5,Football at its finest tonight!,0,1,
2025-07-07 20:05:04,5,The tempo of this match is insane.,3,1,
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,0,2,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,13,3,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,10,5,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,6,3,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,9,5,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,2,10,Goal Real Madrid
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,17,2,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,16,8,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,8,2,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,2,3,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,19,1,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,5,1,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,17,3,Goal Real Madrid
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,15,4,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,13,3,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,4,7,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,13,7,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,4,2,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,0,5,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,12,4,Goal Real Madrid
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,14,1,Goal Real Madrid
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,11,3,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,10,1,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,19,4,Goal Real Madrid
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,13,6,Goal Real Madrid
2025-07-07 20:09:35,9,What a finish by Gonzalo García! Real Madrid on fire!,16,7,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,9,4,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,11,4,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,16,6,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,6,3,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,9,1,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,13,0,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,10,5,Goal Real Madrid
2025-07-07 20:09:35,9,Gonzalo García makes it look easy. Hala Madrid!,15,1,Goal Real Madrid
2025-07-07 20:09:35,9,GOAL!!! Gonzalo García scores for Real Madrid!,3,3,Goal Real Madrid
2025-07-07 20:09:35,9,Real Madrid fans erupt after Gonzalo García's goal!,10,7,Goal Real Madrid
