second;rms_db;normalized_volume
0,00;5,7074E+15;0.24627831136706668
1,00;5,2319E+16;0.3632867420550514
2,00;5,59176E+15;0.27473369959091043
3,00;5,19319E+16;0.3728113542038738
4,00;5,67518E+15;0.25420678206388403
5,00;5,14342E+15;0.38506018376536855
6,00;5,48859E+15;0.30012240466039386
7,00;4,33463E+15;0.5840826049305952
8,00;4,9686E+15;0.4280787670882955
9,00;5,02377E+15;0.41450345875618144
10,00;5,60964E+16;0.2703335277598493
11,00;5,1317E+16;0.3879446979876551
12,00;5,33863E+15;0.337022105986475
13,00;5,72783E+15;0.24124892026579392
14,00;5,5041E+16;0.29630553073393706
15,00;5,51022E+15;0.29479766374027927
16,00;5,60281E+16;0.2720151985897771
17,00;5,6404E+14;0.26276383292351146
18,00;5,67011E+16;0.2554530786555841
19,00;5,56638E+16;0.28097977177635014
20,00;5,47439E+15;0.30361685731666244
21,00;5,63381E+15;0.26438676600479993
22,00;5,12459E+15;0.38969427877891893
23,00;4,9771E+15;0.4259866858518039
24,00;4,91576E+15;0.4410804324032698
25,00;4,98831E+15;0.4232287216521299
26,00;5,00485E+15;0.4191573745568742
27,00;5,02377E+15;0.41450345875618144
28,00;4,94843E+14;0.4330414272305847
29,00;4,9248E+15;0.43885782041807353
30,00;5,11981E+15;0.3908686732713166
31,00;5,73846E+16;0.23863345141124193
32,00;5,234E+15;0.3627698391189903
33,00;5,468E+15;0.3051884766026507
34,00;5,65085E+15;0.2601925025453027
35,00;5,56351E+15;0.28168518251528196
36,00;5,61507E+16;0.26899765303698175
37,00;5,59037E+16;0.27507595628516124
38,00;5,47439E+15;0.30361685731666244
39,00;5,45182E+16;0.30916883855574984
40,00;4,9005E+15;0.4448369308498593
41,00;4,89432E+15;0.44635821314305935
42,00;5,34049E+16;0.3365649095343132
43,00;5,44691E+16;0.3103775463568693
44,00;4,7889E+15;0.4722977928986355
45,00;5,34972E+15;0.3342934826327145
46,00;5,01301E+15;0.4171504184039505
47,00;5,22557E+15;0.3648449938648861
48,00;5,63116E+16;0.265039405473365
49,00;5,66118E+15;0.2576517384826985
50,00;5,00212E+15;0.4198305696327186
51,00;4,47609E+15;0.5492732411544845
52,00;4,74582E+15;0.48289860639051885
53,00;4,7568E+15;0.4801987061557479
54,00;4,82324E+14;0.4638485006800047
55,00;4,77833E+15;0.47489911417456054
56,00;5,12459E+15;0.38969427877891893
57,00;5,51022E+15;0.29479766374027927
58,00;5,87101E+16;0.20601575360230584
59,00;5,6404E+14;0.26276383292351146
60,00;5,46318E+15;0.30637482151633644
61,00;5,62583E+16;0.2663506933892127
62,00;5,86495E+15;0.20750869978782993
63,00;5,85782E+15;0.2092637534249855
64,00;5,869E+15;0.20651224455700123
65,00;5,57775E+16;0.2781811817470693
66,00;5,66757E+15;0.25607896273352904
67,00;5,68272E+16;0.2523508578715078
68,00;5,42193E+16;0.3165257917344566
69,00;5,54317E+15;0.28668934024660775
70,00;5,4712E+14;0.3044012224533822
71,00;5,43866E+15;0.3124073741468347
72,00;5,01571E+15;0.41648559901915627
73,00;5,51479E+15;0.2936737036048398
74,00;5,55485E+15;0.28381549177701426
75,00;5,64434E+15;0.26179595537576994
76,00;5,56351E+15;0.28168518251528196
77,00;5,64695E+15;0.26115313004945984
78,00;5,45019E+15;0.30957098215488554
79,00;5,54903E+16;0.2852475859780007
80,00;5,58618E+14;0.2761060270011737
81,00;5,27897E+15;0.3517032175911817
82,00;5,53728E+15;0.2881408857906893
83,00;5,47439E+15;0.30361685731666244
84,00;5,44362E+15;0.31118716573357696
85,00;5,36969E+15;0.32937972002216465
86,00;5,52235E+16;0.2918134720203073
87,00;5,25062E+15;0.3586790107075938
88,00;5,29672E+15;0.34733608873637056
89,00;4,36369E+15;0.576933468258186
90,00;4,43497E+15;0.5593929659295408
91,00;5,57775E+16;0.2781811817470693
92,00;5,69884E+15;0.2483841339170021
93,00;5,51934E+15;0.2925556229738898
94,00;5,63248E+15;0.2647128366399518
95,00;5,25062E+15;0.3586790107075938
96,00;5,30256E+15;0.3458999852829734
97,00;5,52985E+16;0.2899692909514433
